Time,Temperature(F),Humidity(%),Dewpoint(F),HeatIndex(F)
2019/05/22 22:54,75.4,59,60.1,75.4
2019/05/22 22:59,75.4,59,60.1,75.4
2019/05/22 23:04,75.4,59,60.1,75.4
2019/05/22 23:09,75.2,59,59.9,75.2
2019/05/22 23:14,75.2,59,59.9,75.2
2019/05/22 23:19,75.2,59,59.9,75.2
2019/05/22 23:25,75.2,60,60.4,75.2
2019/05/22 23:30,75.2,59,59.9,75.2
2019/05/22 23:35,75.0,59,59.7,75.0
2019/05/22 23:40,75.0,59,59.7,75.0
2019/05/22 23:45,75.0,59,59.7,75.0
2019/05/22 23:50,74.8,59,59.5,74.8
2019/05/22 23:55,75.0,59,59.7,75.0
2019/05/23 00:00,75.0,59,59.7,75.0
2019/05/23 00:05,74.8,59,59.5,74.8
2019/05/23 00:10,74.8,60,60.1,74.8
2019/05/23 00:15,74.8,60,60.1,74.8
2019/05/23 00:20,74.8,60,60.1,74.8
2019/05/23 00:26,74.8,60,60.1,74.8
2019/05/23 00:31,74.8,60,60.1,74.8
2019/05/23 00:36,74.7,60,59.9,74.7
2019/05/23 00:41,74.5,60,59.7,74.5
2019/05/23 00:46,74.5,60,59.7,74.5
2019/05/23 00:51,74.3,60,59.5,74.3
2019/05/23 00:56,74.3,61,60.1,74.3
2019/05/23 01:01,74.1,61,59.9,74.1
2019/05/23 01:06,73.9,61,59.7,73.9
2019/05/23 01:11,73.9,61,59.7,73.9
2019/05/23 01:16,73.8,61,59.5,73.8
2019/05/23 01:21,73.8,61,59.5,73.8
2019/05/23 01:27,73.6,61,59.4,73.6
2019/05/23 01:32,73.4,60,58.6,73.4
2019/05/23 01:37,73.2,60,58.6,73.2
2019/05/23 01:42,73.0,60,58.5,73.0
2019/05/23 01:47,73.0,60,58.5,73.0
2019/05/23 01:52,72.9,60,58.3,72.9
2019/05/23 01:57,72.7,60,58.1,72.7
2019/05/23 02:02,72.5,60,57.9,72.5
2019/05/23 02:07,72.3,60,57.7,72.3
2019/05/23 02:12,72.3,60,57.7,72.3
2019/05/23 02:17,72.1,60,57.6,72.1
2019/05/23 02:22,72.0,60,57.4,72.0
2019/05/23 02:28,72.0,60,57.4,72.0
2019/05/23 02:33,71.8,60,57.2,71.8
2019/05/23 02:38,71.8,60,57.2,71.8
2019/05/23 02:43,71.6,60,57.0,71.6
2019/05/23 02:48,71.4,60,56.8,71.4
2019/05/23 02:53,71.4,60,56.8,71.4
2019/05/23 02:58,71.2,60,56.7,71.2
2019/05/23 03:03,71.2,60,56.7,71.2
2019/05/23 03:08,71.1,60,56.5,71.1
2019/05/23 03:13,71.1,61,57.0,71.1
2019/05/23 03:18,70.9,61,56.8,70.9
2019/05/23 03:23,70.7,61,56.7,70.7
2019/05/23 03:29,70.7,61,56.7,70.7
2019/05/23 03:34,70.5,61,56.5,70.5
2019/05/23 03:39,70.3,62,56.8,70.3
2019/05/23 03:44,70.3,62,56.8,70.3
2019/05/23 03:49,70.3,62,56.8,70.3
2019/05/23 03:54,70.2,62,56.7,70.2
2019/05/23 03:59,70.0,62,56.5,70.0
2019/05/23 04:04,70.0,62,56.5,70.0
2019/05/23 04:09,69.8,62,56.3,69.8
2019/05/23 04:14,69.8,63,56.7,69.8
2019/05/23 04:19,69.8,63,56.7,69.8
2019/05/23 04:24,69.6,63,56.5,69.6
2019/05/23 04:30,69.4,63,56.3,69.4
2019/05/23 04:35,69.4,63,56.3,69.4
2019/05/23 04:40,69.4,63,56.3,69.4
2019/05/23 04:45,69.3,64,56.7,69.3
2019/05/23 04:50,69.3,64,56.7,69.3
2019/05/23 04:55,69.1,64,56.5,69.1
2019/05/23 05:00,69.1,64,56.5,69.1
2019/05/23 05:05,69.1,64,56.5,69.1
2019/05/23 05:10,68.9,65,56.7,68.9
2019/05/23 05:15,68.9,65,56.7,68.9
2019/05/23 05:20,68.7,65,56.5,68.7
2019/05/23 05:25,68.7,65,56.5,68.7
2019/05/23 05:31,68.7,65,56.5,68.7
2019/05/23 05:36,68.5,65,56.3,68.5
2019/05/23 05:41,68.5,66,56.8,68.5
2019/05/23 05:46,68.5,66,56.8,68.5
2019/05/23 05:51,68.4,66,56.7,68.4
2019/05/23 05:56,68.2,66,56.5,68.2
2019/05/23 06:01,68.2,67,56.8,68.2
2019/05/23 06:06,68.2,67,56.8,68.2
2019/05/23 06:11,68.2,67,56.8,68.2
2019/05/23 06:16,68.2,67,56.8,68.2
2019/05/23 06:21,68.0,67,56.7,68.0
2019/05/23 06:26,68.0,67,56.7,68.0
2019/05/23 06:32,68.0,67,56.7,68.0
2019/05/23 06:37,68.0,68,57.0,68.0
2019/05/23 06:42,68.0,68,57.0,68.0
2019/05/23 06:47,68.2,68,57.2,68.2
2019/05/23 06:52,68.2,68,57.2,68.2
2019/05/23 06:57,68.2,68,57.2,68.2
2019/05/23 07:02,68.2,69,57.7,68.2
2019/05/23 07:07,68.4,69,57.9,68.4
2019/05/23 07:12,68.4,69,57.9,68.4
2019/05/23 07:17,68.5,69,58.1,68.5
2019/05/23 07:22,68.5,69,58.1,68.5
2019/05/23 07:27,68.7,70,58.6,68.7
2019/05/23 07:33,68.9,70,58.8,68.9
2019/05/23 07:38,69.1,70,59.0,69.1
2019/05/23 07:43,69.3,71,59.5,69.3
2019/05/23 07:48,69.4,71,59.7,69.4
2019/05/23 07:53,69.6,72,60.3,69.6
2019/05/23 07:58,69.8,72,60.4,69.8
2019/05/23 08:03,70.0,72,60.6,70.0
2019/05/23 08:08,70.2,73,61.2,70.2
2019/05/23 08:13,70.3,73,61.3,70.3
2019/05/23 08:18,70.3,73,61.3,70.3
2019/05/23 08:23,70.5,73,61.5,70.5
2019/05/23 08:28,70.5,73,61.5,70.5
2019/05/23 08:34,70.7,73,61.7,70.7
2019/05/23 08:39,70.9,74,62.2,70.9
2019/05/23 08:44,71.1,74,62.4,71.1
2019/05/23 08:49,71.1,75,62.8,71.1
2019/05/23 08:54,71.2,74,62.6,71.2
2019/05/23 08:59,71.4,75,63.1,71.4
2019/05/23 09:04,71.6,75,63.3,71.6
2019/05/23 09:09,71.6,75,63.3,71.6
2019/05/23 09:14,71.8,75,63.5,71.8
2019/05/23 09:19,71.8,75,63.5,71.8
2019/05/23 09:24,72.0,75,63.7,72.0
2019/05/23 09:29,72.0,75,63.7,72.0
2019/05/23 09:35,72.0,75,63.7,72.0
2019/05/23 09:40,72.1,75,63.9,72.1
2019/05/23 09:45,72.1,75,63.9,72.1
2019/05/23 09:50,72.1,75,63.9,72.1
2019/05/23 09:55,72.3,75,64.0,72.3
2019/05/23 10:00,72.3,75,64.0,72.3
2019/05/23 10:05,72.3,75,64.0,72.3
2019/05/23 10:10,72.5,75,64.2,72.5
2019/05/23 10:15,72.5,75,64.2,72.5
2019/05/23 10:20,72.7,76,64.8,72.7
2019/05/23 10:25,72.7,76,64.8,72.7
2019/05/23 10:30,72.9,76,64.9,72.9
2019/05/23 10:36,72.9,76,64.9,72.9
2019/05/23 10:41,72.9,76,64.9,72.9
2019/05/23 10:46,73.0,75,64.8,73.0
2019/05/23 10:51,73.0,76,65.1,73.0
2019/05/23 10:56,73.0,76,65.1,73.0
2019/05/23 11:01,73.0,76,65.1,73.0
2019/05/23 11:06,73.2,76,65.3,73.2
2019/05/23 11:11,73.2,76,65.3,73.2
2019/05/23 11:16,73.2,77,65.7,73.2
2019/05/23 11:21,73.4,77,65.8,73.4
2019/05/23 11:26,73.4,77,65.8,73.4
2019/05/23 11:31,73.4,77,65.8,73.4
2019/05/23 11:37,73.4,77,65.8,73.4
2019/05/23 11:42,73.4,77,65.8,73.4
2019/05/23 11:47,73.4,77,65.8,73.4
2019/05/23 11:52,73.6,76,65.7,73.6
2019/05/23 11:57,73.6,77,66.0,73.6
2019/05/23 12:02,73.8,76,65.8,73.8
2019/05/23 12:07,73.8,77,66.2,73.8
2019/05/23 12:12,73.9,76,66.0,73.9
2019/05/23 12:17,73.9,77,66.4,73.9
2019/05/23 12:22,74.1,76,66.2,74.1
2019/05/23 12:27,74.3,76,66.4,74.3
2019/05/23 12:32,74.5,76,66.4,74.5
2019/05/23 12:38,74.8,77,67.3,74.8
2019/05/23 12:43,75.0,77,67.3,75.0
2019/05/23 12:48,75.4,77,67.6,75.4
2019/05/23 12:53,75.6,76,67.5,75.6
2019/05/23 12:58,75.7,76,67.6,75.7
2019/05/23 13:03,76.1,76,68.0,76.1
2019/05/23 13:08,76.5,75,68.0,76.5
2019/05/23 13:13,76.8,75,68.4,76.8
2019/05/23 13:18,77.2,74,68.4,77.2
2019/05/23 13:23,77.7,74,68.9,77.7
2019/05/23 13:28,78.1,74,69.1,78.1
2019/05/23 13:33,78.4,73,69.1,78.4
2019/05/23 13:39,78.8,73,69.4,78.8
2019/05/23 13:44,79.2,72,69.4,79.2
2019/05/23 13:49,79.5,72,69.8,79.5
2019/05/23 13:54,79.7,71,69.4,79.7
2019/05/23 13:59,79.9,71,69.6,79.9
2019/05/23 14:04,80.1,71,69.8,80.1
2019/05/23 14:09,80.4,71,70.2,83.7
2019/05/23 14:14,80.6,70,70.0,83.8
2019/05/23 14:19,80.6,70,70.0,83.8
2019/05/23 14:24,80.8,70,70.2,84.2
2019/05/23 14:29,80.8,69,69.8,84.0
2019/05/23 14:34,81.0,70,70.3,84.6
2019/05/23 14:40,81.1,70,70.5,84.7
2019/05/23 14:45,81.3,69,70.2,84.9
2019/05/23 14:50,81.3,69,70.2,84.9
2019/05/23 14:55,81.7,69,70.5,85.6
2019/05/23 15:00,81.9,69,70.7,86.0
2019/05/23 15:05,82.0,69,70.9,86.2
2019/05/23 15:10,82.4,69,71.2,86.9
2019/05/23 15:15,82.8,69,71.6,87.6
2019/05/23 15:20,82.9,69,71.8,87.8
2019/05/23 15:25,83.1,67,71.1,87.6
2019/05/23 15:30,83.1,68,71.6,88.0
2019/05/23 15:35,83.5,67,71.4,88.5
2019/05/23 15:41,83.5,67,71.4,88.5
2019/05/23 15:46,83.7,67,71.6,88.9
2019/05/23 15:51,83.7,67,71.6,88.9
2019/05/23 15:56,83.8,66,71.2,88.7
2019/05/23 16:01,84.0,67,72.0,89.4
2019/05/23 16:06,84.2,66,71.6,89.6
2019/05/23 16:11,84.4,66,71.8,90.0
2019/05/23 16:16,84.7,65,71.8,90.1
2019/05/23 16:21,84.7,64,71.2,90.0
2019/05/23 16:26,84.9,64,71.4,90.3
2019/05/23 16:31,84.9,64,71.4,90.3
2019/05/23 16:36,85.1,63,71.1,90.3
2019/05/23 16:42,85.3,63,71.2,90.7
2019/05/23 16:47,85.3,63,71.2,90.7
2019/05/23 16:52,85.5,63,71.4,91.0
2019/05/23 16:57,85.6,62,71.2,90.9
2019/05/23 17:02,86.0,62,71.6,91.8
2019/05/23 17:07,86.0,61,71.1,91.4
2019/05/23 17:12,86.2,61,71.2,91.8
2019/05/23 17:17,86.4,61,71.4,92.1
2019/05/23 17:22,86.4,60,70.9,91.8
2019/05/23 17:27,86.5,61,71.6,92.3
2019/05/23 17:32,86.7,61,71.8,92.8
2019/05/23 17:37,86.7,60,71.2,92.3
2019/05/23 17:43,86.7,60,71.2,92.3
2019/05/23 17:48,86.9,59,70.9,92.3
2019/05/23 17:53,87.1,60,71.6,93.2
2019/05/23 17:58,87.3,60,71.8,93.6
2019/05/23 18:03,87.3,59,71.2,93.2
2019/05/23 18:08,87.4,60,72.0,93.7
2019/05/23 18:13,87.6,60,72.1,94.3
2019/05/23 18:18,87.6,60,72.1,94.3
2019/05/23 18:23,87.6,59,71.6,93.7
2019/05/23 18:28,87.8,59,71.8,94.1
2019/05/23 18:33,87.8,59,71.8,94.1
2019/05/23 18:38,88.0,59,72.0,94.6
2019/05/23 18:44,88.0,58,71.4,94.1
2019/05/23 18:49,88.2,58,71.6,94.6
2019/05/23 18:54,88.2,58,71.6,94.6
2019/05/23 18:59,88.2,58,71.6,94.6
2019/05/23 19:04,88.3,58,71.8,94.8
2019/05/23 19:09,88.3,58,71.8,94.8
2019/05/23 19:14,88.3,58,71.8,94.8
2019/05/23 19:19,88.2,58,71.6,94.6
2019/05/23 19:24,88.0,57,70.9,93.7
2019/05/23 19:29,88.0,58,71.4,94.1
2019/05/23 19:34,87.6,58,71.1,93.4
2019/05/23 19:39,87.3,58,70.7,92.8
2019/05/23 19:45,86.9,59,70.9,92.3
2019/05/23 19:50,86.7,59,70.7,91.9
2019/05/23 19:55,86.5,59,70.5,91.6
2019/05/23 20:00,86.2,60,70.7,91.4
2019/05/23 20:05,86.0,60,70.5,91.0
2019/05/23 20:10,85.6,60,70.2,90.3
2019/05/23 20:15,85.3,61,70.3,90.0
2019/05/23 20:20,85.1,61,70.2,89.6
2019/05/23 20:25,84.7,61,69.8,88.9
2019/05/23 20:30,84.6,62,70.2,89.1
2019/05/23 20:35,84.4,62,70.0,88.7
2019/05/23 20:40,84.2,62,69.8,88.3
2019/05/23 20:46,84.0,63,70.2,88.3
2019/05/23 20:51,83.7,63,69.8,87.8
2019/05/23 20:56,83.5,63,69.6,87.4
2019/05/23 21:01,83.3,64,70.0,87.3
2019/05/23 21:06,83.1,64,69.8,86.9
2019/05/23 21:11,82.9,64,69.6,86.5
2019/05/23 21:16,82.8,64,69.4,86.4
2019/05/23 21:21,82.6,65,69.6,86.4
2019/05/23 21:26,82.4,65,69.4,86.0
2019/05/23 21:31,82.2,66,69.8,85.8
2019/05/23 21:36,82.0,66,69.6,85.5
2019/05/23 21:41,81.9,66,69.4,85.3
2019/05/23 21:47,81.7,66,69.3,84.9
2019/05/23 21:52,81.5,66,69.1,84.7
2019/05/23 21:57,81.3,67,69.4,84.6
2019/05/23 22:02,81.3,67,69.4,84.6
2019/05/23 22:07,81.0,67,69.1,84.0
2019/05/23 22:12,81.0,67,69.1,84.0
2019/05/23 22:17,80.8,67,68.9,83.7
2019/05/23 22:22,80.6,68,69.1,83.5
2019/05/23 22:27,80.6,68,69.1,83.5
2019/05/23 22:32,80.4,68,68.9,83.3
2019/05/23 22:37,80.2,68,68.7,82.9
2019/05/23 22:42,80.1,68,68.5,80.1
2019/05/23 22:48,79.9,69,68.9,79.9
2019/05/23 22:53,79.9,69,68.9,79.9
2019/05/23 22:58,79.7,69,68.7,79.7
2019/05/23 23:03,79.7,69,68.7,79.7
2019/05/23 23:08,79.5,69,68.5,79.5
2019/05/23 23:13,79.5,69,68.5,79.5
2019/05/23 23:18,79.5,70,68.9,79.5
2019/05/23 23:23,79.5,70,68.9,79.5
2019/05/23 23:28,79.5,69,68.5,79.5
2019/05/23 23:33,79.3,70,68.7,79.3
2019/05/23 23:38,79.3,70,68.7,79.3
2019/05/23 23:43,79.2,70,68.5,79.2
2019/05/23 23:49,79.3,70,68.7,79.3
2019/05/23 23:54,79.2,70,68.5,79.2
2019/05/23 23:59,79.0,70,68.4,79.0
2019/05/24 00:04,79.0,70,68.4,79.0
2019/05/24 00:09,79.0,70,68.4,79.0
2019/05/24 00:14,78.8,70,68.2,78.8
2019/05/24 00:19,78.8,70,68.2,78.8
2019/05/24 00:24,78.8,70,68.2,78.8
2019/05/24 00:29,78.6,71,68.5,78.6
2019/05/24 00:34,78.6,71,68.5,78.6
2019/05/24 00:39,78.4,71,68.4,78.4
2019/05/24 00:44,78.4,71,68.4,78.4
2019/05/24 00:50,78.3,71,68.2,78.3
2019/05/24 00:55,78.3,71,68.2,78.3
2019/05/24 01:00,78.3,71,68.2,78.3
2019/05/24 01:05,78.1,71,68.0,78.1
2019/05/24 01:10,78.1,72,68.4,78.1
2019/05/24 01:15,77.9,72,68.2,77.9
2019/05/24 01:20,77.9,72,68.2,77.9
2019/05/24 01:25,77.7,72,68.0,77.7
2019/05/24 01:30,77.7,72,68.0,77.7
2019/05/24 01:35,77.7,72,68.0,77.7
2019/05/24 01:40,77.5,72,67.8,77.5
2019/05/24 01:45,77.5,72,67.8,77.5
2019/05/24 01:51,77.5,72,67.8,77.5
2019/05/24 01:56,77.4,73,68.0,77.4
2019/05/24 02:01,77.4,73,68.0,77.4
2019/05/24 02:06,77.2,73,67.8,77.2
2019/05/24 02:11,77.2,73,67.8,77.2
2019/05/24 02:16,77.2,73,67.8,77.2
2019/05/24 02:21,77.2,73,67.8,77.2
2019/05/24 02:26,77.0,73,67.8,77.0
2019/05/24 02:31,77.0,73,67.8,77.0
2019/05/24 02:36,76.8,73,67.6,76.8
2019/05/24 02:41,76.8,73,67.6,76.8
2019/05/24 02:46,76.8,73,67.6,76.8
2019/05/24 02:52,76.6,73,67.5,76.6
2019/05/24 02:57,76.6,73,67.5,76.6
2019/05/24 03:02,76.5,73,67.3,76.5
2019/05/24 03:07,76.5,73,67.3,76.5
2019/05/24 03:12,76.5,73,67.3,76.5
2019/05/24 03:17,76.5,73,67.3,76.5
2019/05/24 03:22,76.3,74,67.5,76.3
2019/05/24 03:27,76.3,74,67.5,76.3
2019/05/24 03:32,76.1,74,67.3,76.1
2019/05/24 03:37,76.1,74,67.3,76.1
2019/05/24 03:42,75.9,74,67.1,75.9
2019/05/24 03:47,75.9,74,67.1,75.9
2019/05/24 03:53,75.9,75,67.5,75.9
2019/05/24 03:58,75.7,75,67.3,75.7
2019/05/24 04:03,75.7,75,67.3,75.7
2019/05/24 04:08,75.6,75,67.1,75.6
2019/05/24 04:13,75.6,75,67.1,75.6
2019/05/24 04:18,75.4,75,66.9,75.4
2019/05/24 04:23,75.4,75,66.9,75.4
2019/05/24 04:28,75.4,76,67.3,75.4
2019/05/24 04:33,75.4,75,66.9,75.4
2019/05/24 04:38,75.2,75,66.7,75.2
2019/05/24 04:43,75.2,76,67.1,75.2
2019/05/24 04:48,75.0,76,66.9,75.0
2019/05/24 04:54,75.0,76,66.9,75.0
2019/05/24 04:59,75.0,76,66.9,75.0
2019/05/24 05:04,74.8,76,66.7,74.8
2019/05/24 05:09,74.8,76,66.7,74.8
2019/05/24 05:14,74.7,76,66.6,74.7
2019/05/24 05:19,74.7,76,66.6,74.7
2019/05/24 05:24,74.7,77,67.1,74.7
2019/05/24 05:29,74.7,77,67.1,74.7
2019/05/24 05:34,74.5,77,66.9,74.5
2019/05/24 05:39,74.5,77,66.9,74.5
2019/05/24 05:44,74.3,77,66.7,74.3
2019/05/24 05:49,74.3,77,66.7,74.3
2019/05/24 05:55,74.3,77,66.7,74.3
2019/05/24 06:00,74.1,78,66.9,74.1
2019/05/24 06:05,74.1,78,66.9,74.1
2019/05/24 06:10,74.1,78,66.9,74.1
2019/05/24 06:15,73.9,78,66.7,73.9
2019/05/24 06:20,73.9,78,66.7,73.9
2019/05/24 06:25,73.9,78,66.7,73.9
2019/05/24 06:30,73.9,78,66.7,73.9
2019/05/24 06:35,73.9,78,66.7,73.9
2019/05/24 06:40,73.9,78,66.7,73.9
2019/05/24 06:45,73.9,78,66.7,73.9
2019/05/24 06:50,73.9,78,66.7,73.9
2019/05/24 06:56,73.9,79,67.1,73.9
2019/05/24 07:01,73.9,79,67.1,73.9
2019/05/24 07:06,73.9,79,67.1,73.9
2019/05/24 07:11,74.1,79,67.3,74.1
2019/05/24 07:16,74.1,78,66.9,74.1
2019/05/24 07:21,74.1,79,67.3,74.1
2019/05/24 07:26,74.1,79,67.3,74.1
2019/05/24 07:31,74.3,79,67.5,74.3
2019/05/24 07:36,74.3,79,67.5,74.3
2019/05/24 07:41,74.5,80,68.0,74.5
2019/05/24 07:46,74.5,80,68.0,74.5
2019/05/24 07:51,74.7,80,68.2,74.7
2019/05/24 07:57,74.7,80,68.2,74.7
2019/05/24 08:02,74.8,80,68.4,74.8
2019/05/24 08:07,75.0,80,68.5,75.0
2019/05/24 08:12,75.2,80,68.7,75.2
2019/05/24 08:17,75.4,79,68.5,75.4
2019/05/24 08:22,75.7,79,68.9,75.7
2019/05/24 08:27,75.9,78,68.5,75.9
2019/05/24 08:32,76.1,78,68.7,76.1
2019/05/24 08:37,76.3,78,68.9,76.3
2019/05/24 08:42,76.5,78,69.1,76.5
2019/05/24 08:47,76.6,78,69.3,76.6
2019/05/24 08:52,77.0,77,69.3,77.0
2019/05/24 08:58,77.2,76,69.1,77.2
2019/05/24 09:03,77.4,76,69.3,77.4
2019/05/24 09:08,77.7,75,69.3,77.7
2019/05/24 09:13,78.1,75,69.6,78.1
2019/05/24 09:18,78.3,74,69.3,78.3
2019/05/24 09:23,78.4,74,69.4,78.4
2019/05/24 09:28,78.8,74,69.8,78.8
2019/05/24 09:33,79.0,73,69.6,79.0
2019/05/24 09:38,79.2,72,69.4,79.2
2019/05/24 09:43,79.3,72,69.6,79.3
2019/05/24 09:48,79.7,70,69.1,79.7
2019/05/24 09:53,80.1,70,69.4,80.1
2019/05/24 09:59,80.4,70,69.8,83.5
2019/05/24 10:04,80.8,69,69.8,84.0
2019/05/24 10:09,81.0,68,69.4,84.2
2019/05/24 10:14,81.3,66,68.9,84.4
2019/05/24 10:19,81.7,66,69.3,84.9
2019/05/24 10:24,81.9,66,69.4,85.3
2019/05/24 10:29,82.2,64,68.9,85.5
2019/05/24 10:34,82.4,62,68.2,85.3
2019/05/24 10:39,82.8,61,68.0,85.8
2019/05/24 10:44,82.9,62,68.7,86.2
2019/05/24 10:49,83.1,61,68.4,86.2
2019/05/24 10:54,83.7,61,68.9,87.3
2019/05/24 11:00,83.8,61,69.1,87.4
2019/05/24 11:05,84.0,59,68.2,87.1
2019/05/24 11:10,84.2,57,67.5,86.9
2019/05/24 11:15,84.4,58,68.0,87.6
2019/05/24 11:20,84.6,58,68.2,87.8
2019/05/24 11:25,84.6,57,67.6,87.6
2019/05/24 11:30,84.9,57,68.0,88.2
2019/05/24 11:35,85.1,55,67.1,87.8
2019/05/24 11:40,85.5,56,68.0,88.7
2019/05/24 11:45,85.6,56,68.2,88.9
2019/05/24 11:50,85.8,56,68.4,89.2
2019/05/24 11:55,86.2,54,67.6,89.2
2019/05/24 12:01,86.4,53,67.3,89.2
2019/05/24 12:06,86.5,54,68.0,89.8
2019/05/24 12:11,86.5,53,67.5,89.4
2019/05/24 12:16,86.9,52,67.3,89.8
2019/05/24 12:21,87.1,53,68.0,90.5
2019/05/24 12:26,87.3,53,68.2,90.9
2019/05/24 12:31,87.4,53,68.4,91.0
2019/05/24 12:36,87.6,52,67.8,91.0
2019/05/24 12:41,88.0,51,67.6,91.4
2019/05/24 12:46,88.0,50,67.1,91.0
2019/05/24 12:51,88.2,50,67.3,91.2
2019/05/24 12:56,88.3,50,67.5,91.4
2019/05/24 13:02,88.3,50,67.5,91.4
2019/05/24 13:07,88.7,50,67.8,92.1
2019/05/24 13:12,88.7,50,67.8,92.1
2019/05/24 13:17,89.1,50,68.0,92.8
2019/05/24 13:22,89.1,48,66.9,92.1
2019/05/24 13:27,89.2,49,67.6,92.7
2019/05/24 13:32,89.4,48,67.3,92.7
2019/05/24 13:37,89.6,47,66.7,92.5
2019/05/24 13:42,89.6,48,67.5,92.8
2019/05/24 13:47,89.8,48,67.5,93.2
2019/05/24 13:52,90.0,48,67.6,93.6
2019/05/24 13:57,90.0,47,67.1,93.2
